년도,온도
2021,12.1408
2022,12.4092
2023,12.6726
2024,13.1128
2025,11.7255
2026,12.0345
2027,12.0605
2028,12.2056
2029,12.15
2030,12.5328
2031,12.5222
2032,11.9974
2033,12.8201
2034,13.0077
2035,12.5139
2036,13.7551
2037,13.1606
2038,12.5343
2039,12.9132
2040,12.2315
2041,12.488
2042,12.7523
2043,13.3702
2044,12.9654
2045,12.1923
2046,12.6842
2047,13.3755
2048,13.1282
2049,11.6728
2050,12.6116
2051,13.0385
2052,13.3713
2053,12.9936
2054,13.5703
2055,13.318
2056,12.4363
2057,12.8517
2058,12.7747
2059,13.6205
2060,13.0352
2061,12.3061
2062,13.21
2063,12.541
2064,12.6227
2065,12.5563
2066,12.3895
2067,12.9094
2068,13.3811
2069,12.0896
2070,12.7635
2071,13.0116
2072,12.5992
2073,11.4714
2074,13.0103
2075,12.5073
2076,12.8901
2077,12.9286
2078,11.8901
2079,13.3734
2080,12.8075
2081,12.8189
2082,13.168
2083,13.5822
2084,12.3992
2085,12.7862
2086,12.396
2087,12.1197
2088,12.7291
2089,13.4109
2090,12.8087
2091,12.5875
2092,12.4797
2093,13.1157
2094,12.7959
2095,13.2873
2096,12.8357
2097,13.1231
2098,12.9802
2099,13.5316
2100,12.5512
